Points,Longitude,Latitude,HALLMARK_ANGIOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_P53_PATHWAY,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_DNA_REPAIR,Max,P
43,337.95024,26.9802,-1.221115541,-20.02451968,-17.3198334,-9.186835327,-9.97E+00,-9.963642519,-8.513717365,-9.7722679,0,HALLMARK_ANGIOGENESIS
44,344.88282,26.9802,-1.007928535,-19.0921235,-16.31867047,-7.547180895,-9.25E+00,-9.032940542,-8.076162191,-9.00215233,0,HALLMARK_ANGIOGENESIS
45,351.81539,26.9802,-0.760388859,-18.07744848,-15.22064921,-5.669631837,-8.48E+00,-8.016906008,-7.582860481,-8.17592211,0,HALLMARK_ANGIOGENESIS
46,358.74796,26.9802,-0.482281057,-17.01691167,-14.06150978,-3.585373857,-7.67E+00,-6.949848886,-7.051394358,-7.31812733,0,HALLMARK_ANGIOGENESIS
47,365.68053,26.9802,-0.181990345,-15.95753691,-12.88769828,-1.356093486,-6.86E+00,-5.876943068,-6.505988148,-6.46018872,0,HALLMARK_ANGIOGENESIS
48,372.61311,26.9802,0.129517139,-14.94549468,-11.74655248,0.938885192,-6.07E+00,-4.842667383,-5.971665088,-5.63349351,0.938885192,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
49,379.54568,26.9802,0.440486056,-14.01869638,-10.67906706,3.214064518,-5.34E+00,-3.883250903,-5.470087847,-4.8647708,3.214064518,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
50,386.47825,26.9802,0.739301801,-13.20660924,-9.718134011,5.38340462,-4.68E+00,-3.026455923,-5.018647933,-4.17546553,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
51,393.41083,26.9802,1.014830589,-12.53473358,-8.893697414,7.361820785,-4.12E+00,-2.296175279,-4.631781913,-3.58377371,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
52,400.3434,26.9802,1.256938914,-12.02807736,-8.234226726,9.068242362,-3.67E+00,-1.715972129,-4.322066938,-3.10630235,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
53,407.27597,26.9802,1.45760305,-11.70979533,-7.764995553,10.43406536,-3.36E+00,-1.307548969,-4.099442949,-2.75723914,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
54,414.20854,26.9802,1.612318541,-11.59536479,-7.503197172,11.41566592,-3.20E+00,-1.084565295,-3.968733633,-2.54513348,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
55,421.14112,26.9802,1.721203335,-11.68554405,-7.450529897,12.00608882,-3.18E+00,-1.045224396,-3.926851451,-2.46893797,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
56,428.07369,26.9802,1.789375757,-11.96164536,-7.589638364,12.24103961,-3.28E+00,-1.167333386,-3.961201766,-2.51521082,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
57,435.00626,26.9802,1.826480865,-12.38534178,-7.881157195,12.19635914,-3.48E+00,-1.408284258,-4.050280677,-2.65786288,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
58,441.93884,26.9802,1.845388633,-12.90349753,-8.26887877,11.97654142,-3.73E+00,-1.710709904,-4.166648225,-2.86098822,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
59,448.87141,26.9802,1.860263461,-13.45669675,-8.690740552,11.69668745,-3.99E+00,-2.012506714,-4.281462442,-3.08417171,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
60,455.80398,26.9802,1.884509885,-13.98851307,-9.088484852,11.46339238,-4.23E+00,-2.257894607,-4.368982988,-3.28855815,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
61,462.73655,26.9802,1.929231578,-14.45216924,-9.415907788,11.3611084,-4.40E+00,-2.405620252,-4.409519112,-3.44166881,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
62,469.66913,26.9802,2.002537172,-14.81288651,-9.640228477,11.44758112,-4.49E+00,-2.432068466,-4.390253306,-3.51977588,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
63,476.6017,26.9802,2.109530185,-15.04684888,-9.740824347,11.75683459,-4.49E+00,-2.329693571,-4.304494875,-3.50798479,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
64,483.53427,26.9802,2.252569012,-15.13916753,-9.705295033,12.30494159,-4.38E+00,-2.102849692,-4.150419287,-3.39910096,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
65,490.46685,26.9802,2.431469176,-15.08276091,-9.527922108,13.09423746,-4.17E+00,-1.763246531,-3.930070482,-3.19241247,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
66,497.39942,26.9802,2.643553393,-14.87861595,-9.211038428,14.11429728,-3.87E+00,-1.326587089,-3.648789713,-2.89289922,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
67,504.33199,26.9802,2.88371005,-14.53650378,-8.764743613,15.34101189,-3.48E+00,-0.810844288,-3.314777377,-2.5106165,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
68,511.26457,26.9802,3.144775038,-14.07459767,-8.208257765,16.73688072,-3.04E+00,-0.235442425,-2.938400968,-2.0596564,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
69,518.19714,26.9802,3.418403062,-13.51712855,-7.567274031,18.25471119,-2.55E+00,0.379730254,-2.531115507,-1.55641732,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
70,525.12971,26.9802,3.696218378,-12.89068879,-6.869175827,19.84402058,-2.02E+00,1.015796075,-2.104224318,-1.01753998,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
71,532.06228,26.9802,3.970825137,-12.22063062,-6.137076481,21.45750529,-1.49E+00,1.656361523,-1.667849862,-0.45814834,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
72,538.99486,26.9802,4.236390296,-11.5286431,-5.389247648,23.05541409,-9.57E-01,2.288433124,-1.230338116,0.10919939,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
73,545.92743,26.9802,4.488778651,-10.83173716,-4.641324958,24.60728509,-4.32E-01,2.902618828,-0.798093131,0.67483653,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
74,552.86,26.9802,4.725384902,-10.14229397,-3.90615745,26.09167864,7.82E-02,3.492791048,-0.375709272,1.23180907,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
75,559.79258,26.9802,4.944830284,-9.46869456,-3.190492353,27.49484337,5.69E-01,4.055480267,0.033746651,1.77544283,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
76,566.72515,26.9802,5.14664144,-8.816152513,-2.49750376,28.80905117,1.04E+00,4.589212067,0.428411671,2.30284118,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
77,573.65772,26.9802,5.330971142,-8.187526887,-1.829999895,30.03102205,1.49E+00,5.093909159,0.807323301,2.81241732,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
78,580.59029,26.9802,5.498380089,-7.584014165,-1.189347323,31.16061531,1.91E+00,5.570407586,1.170163814,3.30350555,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
79,587.52287,26.9802,5.649677696,-7.005691647,-0.575711036,32.19982081,2.32E+00,6.020092958,1.517058553,3.7760602,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
80,594.45544,26.9802,5.785811366,-6.451921591,0.012141732,33.15201735,2.71E+00,6.44464187,1.848424104,4.23043401,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
81,46.78218,33.59788,0.314581981,-7.03162037,-4.927194517,-0.644097999,-3.42E+00,-2.475025251,-3.804582625,-2.11672186,0.314581981,HALLMARK_ANGIOGENESIS
82,53.71475,33.59788,0.391299662,-6.894227635,-4.777159071,-0.199755229,-3.27E+00,-2.317474198,-3.713099233,-1.97438824,0.391299662,HALLMARK_ANGIOGENESIS
83,60.64733,33.59788,0.480471615,-6.720085809,-4.581824775,0.311194907,-3.09E+00,-2.113259012,-3.598831904,-1.7950211,0.480471615,HALLMARK_ANGIOGENESIS
84,67.5799,33.59788,0.580727835,-6.521591356,-4.351033847,0.877587554,-2.87E+00,-1.869576139,-3.466095625,-1.58668801,0.877587554,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
85,74.51247,33.59788,0.689139366,-6.319054391,-4.105830626,1.479333029,-2.64E+00,-1.600694482,-3.32274395,-1.36383583,1.479333029,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
86,81.44504,33.59788,0.800451098,-6.143391201,-3.878565518,2.083212886,-2.41E+00,-1.331081213,-3.181610938,-1.14923599,2.083212886,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
87,88.37762,33.59788,0.906164113,-6.038592556,-3.714016532,2.637307375,-2.22E+00,-1.098742188,-3.062012941,-0.97539404,2.637307375,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
88,95.31019,33.59788,0.993862572,-6.061820343,-3.676920594,3.066031102,-2.12E+00,-0.956803163,-2.990396641,-0.88412686,3.066031102,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
89,102.24276,33.59788,1.047664254,-6.27753125,-3.836263354,3.271189257,-2.14E+00,-0.969682446,-2.998497157,-0.92263227,3.271189257,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
90,109.17534,33.59788,1.050821887,-6.743265493,-4.256298766,3.146374803,-2.35E+00,-1.20075041,-3.117660938,-1.13525485,3.146374803,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
91,116.10791,33.59788,0.990502177,-7.491105563,-4.97358964,2.606563916,-2.77E+00,-1.693859207,-3.370439858,-1.55300035,2.606563916,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
92,123.04048,33.59788,0.862608303,-8.516553095,-5.986061428,1.62048043,-3.42E+00,-2.459026716,-3.764037449,-2.18623435,1.62048043,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
93,129.97305,33.59788,0.673088327,-9.785604376,-7.259209401,0.222119961,-4.27E+00,-3.473671325,-4.290669307,-3.02593282,0.673088327,HALLMARK_ANGIOGENESIS
94,136.90563,33.59788,0.433950571,-11.25717781,-8.749828396,-1.512053573,-5.29E+00,-4.699713116,-4.934975167,-4.05296928,0.433950571,HALLMARK_ANGIOGENESIS
95,143.8382,33.59788,0.156472876,-12.9034569,-10.42603436,-3.505038961,-6.46E+00,-6.10268684,-5.682226395,-5.24763625,0.156472876,HALLMARK_ANGIOGENESIS
96,150.77077,33.59788,-0.153539699,-14.7114882,-12.26790591,-5.708619033,-7.76E+00,-7.657545831,-6.520290408,-6.59111503,0,HALLMARK_ANGIOGENESIS
97,157.70335,33.59788,-0.495520745,-16.66594833,-14.25284118,-8.101907021,-9.17E+00,-9.33911329,-7.434402179,-8.05832819,0,HALLMARK_ANGIOGENESIS
98,164.63592,33.59788,-0.869651519,-18.72824137,-16.33783821,-10.66552438,-1.06E+01,-11.10804938,-8.400148167,-9.60927136,0,HALLMARK_ANGIOGENESIS
99,171.56849,33.59788,-1.271278422,-20.82782858,-18.44962588,-13.35151255,-1.21E+01,-12.90423187,-9.380862433,-11.18647676,0,HALLMARK_ANGIOGENESIS
100,178.50107,33.59788,-1.687979787,-22.87109569,-20.49681798,-16.06955065,-1.36E+01,-14.65193366,-10.33164622,-12.72111839,0,HALLMARK_ANGIOGENESIS
101,185.43364,33.59788,-2.101159777,-24.76118874,-22.38699417,-18.69827115,-1.49E+01,-16.2728188,-11.20747069,-14.14445372,0,HALLMARK_ANGIOGENESIS
102,192.36621,33.59788,-2.490504811,-26.41681135,-24.0419088,-21.11161354,-1.61E+01,-17.6985535,-11.97062615,-15.39856584,0,HALLMARK_ANGIOGENESIS
103,199.29878,33.59788,-2.838020443,-27.78170859,-25.4096545,-23.20202234,-1.70E+01,-18.87741602,-12.59433313,-16.44215669,0,HALLMARK_ANGIOGENESIS
104,206.23136,33.59788,-3.130092538,-28.82493079,-26.45995595,-24.89174338,-1.78E+01,-19.77557398,-13.06273477,-17.25132298,0,HALLMARK_ANGIOGENESIS
105,213.16393,33.59788,-3.358057847,-29.53706466,-27.18238701,-26.13501638,-1.82E+01,-20.37665369,-13.36948125,-17.81780504,0,HALLMARK_ANGIOGENESIS
106,220.0965,33.59788,-3.518034272,-29.92684826,-27.58291698,-26.91612826,-1.85E+01,-20.68141139,-13.51667656,-18.14679873,0,HALLMARK_ANGIOGENESIS
107,227.02908,33.59788,-3.610310224,-30.01945688,-27.68250676,-27.24572307,-1.85E+01,-20.70719381,-13.51459394,-18.25496893,0,HALLMARK_ANGIOGENESIS
108,233.96165,33.59788,-3.638495819,-29.85560276,-27.51878371,-27.15649936,-1.83E+01,-20.48673268,-13.38166815,-18.16850977,0,HALLMARK_ANGIOGENESIS
109,240.89422,33.59788,-3.608675162,-29.48959995,-27.14581034,-26.69892075,-1.80E+01,-20.06595545,-13.14386694,-17.92083353,0,HALLMARK_ANGIOGENESIS
110,247.82679,33.59788,-3.528642584,-28.98403509,-26.62803703,-25.93608997,-1.76E+01,-19.49961412,-12.83236138,-17.54922817,0,HALLMARK_ANGIOGENESIS
111,254.75937,33.59788,-3.4071227,-28.39972017,-26.02883859,-24.93626907,-1.70E+01,-18.84327959,-12.47895559,-17.09011764,0,HALLMARK_ANGIOGENESIS
112,261.69194,33.59788,-3.252957387,-27.78331114,-25.39749119,-23.7640004,-1.65E+01,-18.14279077,-12.11040597,-16.57395134,0,HALLMARK_ANGIOGENESIS
113,268.62451,33.59788,-3.07455807,-27.15909112,-24.76025764,-22.47432981,-1.59E+01,-17.42625614,-11.74443953,-16.0221868,0,HALLMARK_ANGIOGENESIS
114,275.55709,33.59788,-2.88004753,-26.53105981,-24.12206113,-21.11446136,-1.54E+01,-16.70448891,-11.38999045,-15.44834944,0,HALLMARK_ANGIOGENESIS
115,282.48966,33.59788,-2.678074072,-25.89473984,-23.47899443,-19.73162246,-1.48E+01,-15.98046527,-11.05136452,-14.86240704,0,HALLMARK_ANGIOGENESIS
116,289.42223,33.59788,-2.478464467,-25.25032463,-22.83083351,-18.37903051,-1.42E+01,-15.26083727,-10.73288871,-14.27495785,0,HALLMARK_ANGIOGENESIS
117,296.3548,33.59788,-2.291461532,-24.60758115,-22.18475554,-17.11058978,-1.36E+01,-14.56011262,-10.44011732,-13.69757473,0,HALLMARK_ANGIOGENESIS
118,303.28738,33.59788,-2.125006083,-23.97925035,-21.54987551,-15.96271269,-1.31E+01,-13.89349483,-10.17635036,-13.13828747,0,HALLMARK_ANGIOGENESIS
119,310.21995,33.59788,-1.981124003,-23.36789586,-20.92626655,-14.93292982,-1.26E+01,-13.2631101,-9.936802688,-12.59476602,0,HALLMARK_ANGIOGENESIS
120,317.15252,33.59788,-1.85355816,-22.75537902,-20.29391422,-13.96900051,-1.20E+01,-12.64747264,-9.704632437,-12.0499251,0,HALLMARK_ANGIOGENESIS
121,324.0851,33.59788,-1.728278079,-22.10227905,-19.61229035,-12.97572411,-1.15E+01,-12.00199776,-9.452095429,-11.47379538,0,HALLMARK_ANGIOGENESIS
122,331.01767,33.59788,-1.586920622,-21.3587566,-18.82987385,-11.83707099,-1.09E+01,-11.27154274,-9.147210619,-10.8320474,0,HALLMARK_ANGIOGENESIS
123,337.95024,33.59788,-1.411849989,-20.48274619,-17.90259561,-10.44581188,-1.03E+01,-10.40976034,-8.763550361,-10.0979967,0,HALLMARK_ANGIOGENESIS
124,344.88282,33.59788,-1.191052646,-19.458354,-16.81299954,-8.731863376,-9.49E+00,-9.397604417,-8.289509962,-9.26336772,0,HALLMARK_ANGIOGENESIS
125,351.81539,33.59788,-0.921292753,-18.30654069,-15.57999441,-6.681242104,-8.62E+00,-8.253571557,-7.733422832,-8.34348136,0,HALLMARK_ANGIOGENESIS
126,358.74796,33.59788,-0.608500036,-17.08178921,-14.25595971,-4.339031329,-7.71E+00,-7.030145552,-7.121851266,-7.37419723,0,HALLMARK_ANGIOGENESIS
127,365.68053,33.59788,-0.265312915,-15.85447978,-12.9110539,-1.794533247,-6.78E+00,-5.796215979,-6.491058327,-6.40123587,0,HALLMARK_ANGIOGENESIS
128,372.61311,33.59788,0.092870686,-14.68819515,-11.60984426,0.843867409,-5.88E+00,-4.614159276,-5.875861038,-5.46707593,0.843867409,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
129,379.54568,33.59788,0.450963895,-13.6264145,-10.39865107,3.468740921,-5.04E+00,-3.52602173,-5.302482059,-4.60304249,3.468740921,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
130,386.47825,33.59788,0.794895672,-12.69609409,-9.310022375,5.977699974,-4.29E+00,-2.556999573,-4.788990058,-3.83055671,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
131,393.41083,33.59788,1.110871667,-11.92127142,-8.372033856,8.266720192,-3.65E+00,-1.729537008,-4.350427761,-3.16799038,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
132,400.3434,33.59788,1.385371774,-11.33280023,-7.619842293,10.22810802,-3.14E+00,-1.073430027,-4.002516111,-2.63573108,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
133,407.27597,33.59788,1.6068709,-10.96629707,-7.092529421,11.76243718,-2.80E+00,-0.623465159,-3.760524848,-2.25511278,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
134,414.20854,33.59788,1.76837991,-10.85066525,-6.821259847,12.80050018,-2.64E+00,-0.407174148,-3.634397754,-2.04229624,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
135,421.14112,33.59788,1.869357169,-10.99471182,-6.817647011,13.32428836,-2.66E+00,-0.430661265,-3.623296811,-2.00088218,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
136,428.07369,33.59788,1.916341911,-11.37830918,-7.062352359,13.37824465,-2.84E+00,-0.66910797,-3.712264088,-2.11657718,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
137,435.00626,33.59788,1.92237163,-11.95132812,-7.504451198,13.06698242,-3.15E+00,-1.065500406,-3.872594848,-2.35601158,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
138,441.93884,33.59788,1.905168913,-12.64106912,-8.065874028,12.53827978,-3.53E+00,-1.539070636,-4.066432108,-2.67081634,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
139,448.87141,33.59788,1.884134824,-13.36642453,-8.659497563,11.95374199,-3.91E+00,-2.00190562,-4.254334987,-3.00623315,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
140,455.80398,33.59788,1.877004758,-14.05353102,-9.20803687,11.45667978,-4.25E+00,-2.377659157,-4.402724466,-3.31107451,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
141,462.73655,33.59788,1.897571611,-14.64597555,-9.655881286,11.15086354,-4.51E+00,-2.614475142,-4.488121445,-3.54504198,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
